ZIPCODE,TIME1,TIME2,VIS1,VIS2,XRN1,XRN2,XRN3,XRN4,XRN5,VAR1,VAR2,VAR3,VAR4,VAR5,TRN_AMT,TOTAL_TRN_AMT,TRN_TYPE
669,12,12,0,0,1,0,0,0,1,2,1,32.288,20,2,38.85,38.85,FRAUD
672,8,8,0,0,0,0,0,1,1,3,1,44.312,21,5,12.95,12.95,FRAUD
675,12,12,1,0,0,1,1,0,1,2,1,16.68,34,0,12.95,12.95,LEGIT
601,16,16,0,0,1,0,0,0,1,3,0,4.28,6,4,38.85,38.85,LEGIT
655,17,17,0,0,0,0,0,0,2,2,1,34,7,1,19.95,19.95,LEGIT
649,5,5,0,0,1,1,1,0,2,3,1,14.784,10,0,20.72,20.72,FRAUD
648,17,17,0,0,1,1,0,0,1,3,0,-155.56,6,0,10.36,10.36,FRAUD
685,9,9,0,0,0,1,0,0,1,3,0,48.16,17,0,10.36,10.36,LEGIT
672,8,8,0,0,1,1,0,0,3,3,1,45.232,7,0,12.95,12.95,LEGIT
687,12,13,0,0,0,0,1,0,1,2,1,-27.384,19,0,38.85,38.85,FRAUD
166,11,11,0,0,0,0,0,0,1,3,0,24.944,26,2,12.95,12.95,LEGIT
670,20,20,0,0,1,0,,0,2,3,0,8.04,8,2,25.9,25.9,FRAUD
648,21,21,0,,0,1,0,0,1,2,0,4.944,18,4,38.85,38.85,FRAUD
630,16,16,0,0,0,0,1,0,2,3,0,-19.672,7,0,38.85,38.85,LEGIT
670,16,16,0,0,1,1,1,0,2,2,1,-20,10,4,49.95,49.95,FRAUD
649,20,19,0,0,1,1,0,0,1,2,0,20.656,11,4,12.95,12.95,FRAUD
685,19,19,0,,1,0,0,0,1,3,0,-11.28,6,0,12.95,12.95,LEGIT
450,20,20,0,0,0,1,1,0,1,0,1,15.92,21,0,49.95,49.95,FRAUD
685,17,17,1,0,0,1,0,0,1,3,1,7.28,16,0,12.95,12.95,LEGIT
679,19,19,0,0,0,1,1,0,2,3,1,44.512,13,0,12.95,12.95,FRAUD
693,9,9,0,0,0,0,0,0,1,3,0,-70.712,17,0,38.85,38.85,FRAUD
308,13,13,1,0,0,1,1,0,1,2,0,16.784,7,0,38.85,38.85,FRAUD
634,16,16,0,0,1,1,0,0,2,3,1,36.672,6,2,10.36,10.36,LEGIT
308,9,9,0,0,,0,0,0,1,0,0,-54.872,15,2,12.95,12.95,LEGIT
685,11,11,,0,0,1,1,0,1,3,0,6.72,10,0,10.36,10.36,LEGIT
602,2,2,0,0,1,1,0,0,3,2,1,-4.4,9,0,10.36,10.36,FRAUD
369,23,23,0,0,1,1,1,0,1,2,1,39.952,15,0,12.95,12.95,LEGIT
116,22,22,0,,1,1,0,0,2,2,1,24.552,9,4,38.85,38.85,LEGIT
670,23,23,0,0,0,0,0,0,1,3,1,-29.24,23,0,38.85,38.85,FRAUD
614,6,6,0,0,0,1,1,0,1,0,1,-21.304,26,0,38.85,38.85,LEGIT
601,19,19,0,0,1,1,0,0,1,2,1,-9.36,12,0,25.9,25.9,LEGIT
669,15,15,0,0,1,1,0,0,1,2,0,-39.592,6,0,12.95,12.95,FRAUD
105,12,12,0,0,0,0,1,0,1,0,0,9.16,9,0,38.85,38.85,FRAUD
685,11,11,0,0,1,0,1,0,1,3,0,28.264,16,0,11.01,11.01,LEGIT
128,10,10,0,0,1,1,1,0,1,3,0,-2.08,16,0,38.85,38.85,LEGIT
111,18,18,0,0,0,1,0,0,1,2,1,2.392,16,0,12.95,12.95,LEGIT
362,13,13,0,0,0,0,0,0,2,0,1,45.64,19,0,12.95,12.95,LEGIT
122,15,15,0,0,0,1,0,0,2,2,0,-67.488,19,2,38.85,38.85,LEGIT
355,14,14,0,0,0,0,0,0,1,0,0,10.752,21,0,12.95,12.95,LEGIT
119,2,3,0,0,0,0,0,0,1,2,1,46.608,16,0,38.85,38.85,LEGIT
650,19,19,0,0,0,1,0,0,1,2,0,13.472,18,1,49.95,49.95,FRAUD
120,13,13,0,0,1,0,0,0,1,3,1,39.848,8,0,36.26,36.26,FRAUD
123,16,16,0,0,1,0,0,0,1,3,1,-5.92,8,0,11.01,11.01,FRAUD
600,11,11,1,0,1,0,0,0,1,3,0,20.552,14,0,12.95,12.95,FRAUD
601,14,14,0,0,0,0,0,0,1,4,0,42.264,12,0,0,0,FRAUD
648,14,14,0,0,0,0,0,0,1,3,1,42.464,35,0,12.95,12.95,FRAUD
634,15,15,0,0,1,1,1,0,1,2,0,-8.232,8,0,12.95,12.95,FRAUD
614,19,19,0,0,1,0,1,0,1,3,0,-46.968,10,0,10.36,10.36,LEGIT
398,10,10,0,0,1,0,0,0,1,3,1,-1.64,7,0,36.26,36.26,LEGIT
672,21,21,0,0,0,0,0,0,1,2,0,3.88,24,6,12.95,12.95,FRAUD
614,21,21,0,0,0,0,0,0,1,3,0,-33.752,17,2,12.95,12.95,LEGIT
601,7,7,0,0,1,0,0,0,2,3,0,35.816,8,0,12.95,12.95,LEGIT
601,14,14,0,0,1,0,0,0,1,2,1,1,8,1,38.85,38.85,LEGIT
106,15,15,0,0,0,0,0,0,1,2,0,-50.024,16,0,12.95,12.95,LEGIT
679,8,8,0,0,0,1,0,0,2,2,0,-5.752,16,0,11.65,11.65,FRAUD
602,17,17,0,0,1,1,1,0,2,3,0,5.336,9,9,25.9,25.9,LEGIT
683,16,16,1,0,0,1,1,0,1,3,1,39.856,28,0,12.95,12.95,FRAUD
670,22,22,0,0,0,0,1,0,1,3,0,-24.224,19,0,38.85,38.85,LEGIT
430,13,13,0,0,1,1,0,0,1,3,0,30.696,22,0,95.4,95.4,FRAUD
683,20,20,0,0,1,0,0,0,1,3,0,-19.512,6,5,12.95,12.95,FRAUD
649,9,9,0,0,0,0,1,0,1,3,0,-111.032,20,2,38.85,38.85,FRAUD
649,8,8,0,0,0,1,1,0,1,2,0,34.272,21,0,38.85,38.85,FRAUD
634,9,9,0,0,1,1,1,0,1,3,1,27.912,9,9,10.36,10.36,LEGIT
630,10,10,0,0,1,1,1,0,2,3,1,18.248,14,0,12.95,12.95,LEGIT
123,20,20,0,0,0,0,0,0,1,3,1,52.968,20,0,38.85,38.85,LEGIT
600,17,17,0,0,1,1,0,0,1,2,1,54.688,22,0,12.95,12.95,LEGIT
680,9,9,0,0,0,1,1,0,1,3,1,-12.872,10,0,12.95,12.95,FRAUD
601,9,9,0,0,1,0,0,0,3,3,1,-19.784,6,0,12.95,12.95,LEGIT
166,11,11,0,0,1,0,0,0,1,3,1,25.592,9,3,38.85,38.85,LEGIT
428,17,17,0,0,0,1,0,0,1,3,0,-23.248,21,0,12.95,12.95,LEGIT
648,2,2,0,0,0,1,0,0,1,3,0,-17.608,17,1,49.95,49.95,FRAUD
113,17,17,0,0,0,0,0,0,1,3,1,38.512,25,0,10.36,10.36,LEGIT
108,12,12,0,0,1,1,1,0,1,3,1,17.256,6,0,12.95,12.95,LEGIT
430,14,14,0,0,1,0,0,1,1,3,0,12.136,9,9,12.95,12.95,LEGIT
166,17,17,0,0,1,1,1,0,1,3,1,38.296,18,0,38.85,38.85,FRAUD
428,9,9,1,0,0,1,1,0,1,3,1,30,11,0,12.95,12.95,FRAUD
634,17,17,0,0,1,0,0,0,2,3,0,-12.136,10,0,12.95,12.95,FRAUD
634,10,10,0,0,0,1,0,0,1,3,0,-8.88,20,0,38.85,38.85,LEGIT
649,11,11,0,0,1,1,1,0,1,3,0,25.144,8,0,12.95,12.95,FRAUD
672,14,14,0,0,1,1,1,0,1,3,1,10.448,18,4,25.9,25.9,FRAUD
600,13,13,0,0,1,0,0,0,1,2,1,1.992,22,0,25.9,25.9,LEGIT
689,17,17,1,0,0,0,0,0,2,3,0,24.904,19,0,38.85,38.85,FRAUD
687,11,11,0,0,0,1,0,0,1,3,0,-49.696,15,0,38.85,38.85,FRAUD
667,11,11,0,0,1,1,0,0,3,2,0,-0.08,12,6,10.36,10.36,FRAUD
683,20,20,0,0,1,1,1,0,1,3,0,29.896,23,0,12.95,12.95,FRAUD
600,9,9,0,0,1,1,1,0,3,2,0,-11.648,22,0,38.85,38.85,LEGIT
398,16,16,0,0,1,1,0,0,1,3,1,48.68,9,9,12.95,12.95,LEGIT
428,11,11,0,0,0,1,1,0,1,2,0,28.192,22,0,25.9,25.9,LEGIT
689,23,23,1,0,0,1,0,0,1,3,1,55.24,20,1,12.95,12.95,FRAUD
386,9,10,0,0,0,0,0,0,1,2,1,-32.032,19,0,38.85,38.85,LEGIT
369,10,10,0,0,1,1,1,0,1,3,1,-48.736,12,4,38.85,38.85,LEGIT
667,18,18,0,0,0,0,1,1,1,3,1,53.648,17,1,12.95,12.95,FRAUD
106,12,12,0,0,1,0,0,0,1,3,0,43.168,9,3,38.85,38.85,FRAUD
119,22,22,0,0,1,0,0,0,4,2,1,-63.048,7,0,38.85,38.85,LEGIT
683,15,15,0,0,0,0,0,0,1,3,0,47.344,31,0,59.4,59.4,FRAUD
664,13,13,0,0,1,1,0,0,4,3,0,-3.808,9,9,11.01,11.01,FRAUD
127,14,14,0,0,1,1,0,0,1,2,1,10.272,7,0,10.36,10.36,FRAUD
670,23,23,0,0,1,0,0,0,1,2,0,10.576,9,4,38.85,38.85,FRAUD
430,18,18,0,0,1,0,0,0,2,2,0,32.016,10,2,25.9,25.9,LEGIT
679,8,8,0,0,0,1,1,0,1,4,0,-6.344,10,2,38.85,38.85,FRAUD
385,20,20,0,0,1,1,1,0,1,2,0,6.232,10,0,10.36,10.36,LEGIT
634,13,13,0,0,1,0,0,0,1,3,1,33.304,8,0,10.36,10.36,LEGIT
644,18,17,0,0,1,1,0,0,1,2,1,11.888,18,0,10.36,10.36,FRAUD
115,21,21,0,0,0,1,1,0,2,3,1,-49.504,23,0,38.85,38.85,FRAUD
685,0,0,0,0,1,1,0,0,1,3,0,-76.096,14,4,38.85,38.85,LEGIT
104,14,14,1,0,1,1,1,0,1,3,1,15.776,8,0,49.95,49.95,LEGIT
128,11,11,0,0,1,1,1,0,1,3,0,33.144,9,1,38.85,38.85,LEGIT
644,18,18,0,0,1,0,0,0,2,3,0,-11.6,9,1,10.36,10.36,FRAUD
119,1,1,0,0,0,0,0,0,1,3,0,36.824,19,0,31.08,31.08,LEGIT
128,11,11,0,0,0,0,0,0,1,3,0,44.616,23,0,38.85,38.85,LEGIT
683,19,19,0,0,0,1,1,0,1,2,1,-34.816,21,0,38.85,38.85,FRAUD
683,12,12,0,0,1,1,0,0,1,3,0,5.744,9,0,31.08,31.08,FRAUD
430,16,16,0,0,0,0,0,0,1,3,1,14.944,28,0,38.85,38.85,LEGIT
648,16,16,0,0,0,0,1,0,1,3,1,59.216,27,4,14.95,14.95,FRAUD
106,17,17,0,0,1,0,0,0,1,3,1,37.256,9,9,12.95,12.95,LEGIT
669,13,13,0,0,0,1,1,0,2,3,0,-40.232,27,0,20.72,20.72,FRAUD
649,10,10,0,0,0,1,0,0,1,3,0,17.68,20,0,38.85,38.85,FRAUD
669,8,8,0,0,0,0,0,0,2,3,0,21.928,8,4,12.95,12.95,FRAUD
614,17,17,0,0,1,1,1,0,1,3,1,-31.416,8,0,12.95,12.95,LEGIT
685,19,19,0,0,0,0,0,0,1,3,1,-25.12,9,4,12.95,12.95,FRAUD
450,6,6,0,0,1,1,1,0,1,3,1,40.84,9,9,38.85,38.85,LEGIT
649,18,18,1,0,0,1,1,0,1,3,0,-50.488,18,0,38.85,38.85,FRAUD
420,15,15,0,0,1,0,0,0,2,3,0,-65,8,0,25.9,25.9,LEGIT
670,18,18,0,0,1,1,0,0,2,3,1,28.64,8,0,12.95,12.95,FRAUD
670,23,23,0,0,1,1,0,0,1,2,0,30.184,21,1,12.95,12.95,FRAUD
683,17,17,0,0,0,0,0,0,2,3,0,21.904,17,0,12.95,12.95,FRAUD
649,9,9,0,0,0,1,0,0,2,1,0,14.496,13,0,47.45,47.45,FRAUD
122,10,10,0,0,1,0,0,0,2,3,1,17.656,7,0,38.85,38.85,LEGIT
655,20,20,0,0,1,0,0,0,1,3,1,1.728,18,0,38.85,38.85,FRAUD
450,11,11,0,0,0,1,1,0,200,4,0,-3.576,11,4,0,0,FRAUD
675,15,15,0,0,1,0,0,0,1,2,0,-12.096,9,0,20.72,20.72,LEGIT
308,13,13,0,0,1,0,0,0,2,1,0,8.696,9,9,38.85,38.85,LEGIT
649,18,18,0,0,1,0,0,0,1,3,1,-45.416,9,9,38.85,38.85,FRAUD
655,10,10,0,0,0,0,0,0,3,2,0,12.08,16,0,12.95,12.95,FRAUD
124,0,0,0,0,1,1,1,0,1,2,0,-10.176,7,0,12.95,12.95,LEGIT
105,0,0,0,0,1,0,0,0,1,2,0,16.488,18,0,38.85,38.85,LEGIT
644,13,13,0,0,0,1,1,0,1,0,1,-2.16,10,0,38.85,38.85,LEGIT
166,17,17,0,0,0,0,1,0,1,3,0,0.552,29,0,38.85,38.85,LEGIT
108,11,11,0,0,0,0,0,0,1,3,0,-19.728,8,0,38.85,38.85,FRAUD
420,16,16,0,0,1,1,1,0,2,3,1,-8.96,9,9,38.85,38.85,FRAUD
625,22,22,0,0,0,1,1,0,1,0,0,-26.144,18,2,38.85,38.85,LEGIT
121,22,22,0,0,1,0,0,0,1,3,1,30.2,11,4,38.85,38.85,LEGIT
308,18,18,0,0,1,1,0,0,1,2,1,-43.76,9,9,10.36,10.36,LEGIT
672,0,0,0,0,1,1,0,0,1,3,0,46.992,6,0,12.95,12.95,LEGIT
369,16,16,0,0,1,0,0,0,1,2,0,9.768,8,0,12.95,12.95,LEGIT
649,15,15,0,0,1,0,0,0,3,2,0,-0.008,10,0,11.01,11.01,LEGIT
693,8,8,1,0,1,1,0,0,1,3,1,29.88,9,4,12.95,12.95,LEGIT
685,8,7,0,0,0,0,0,0,2,3,1,39.168,7,0,12.95,12.95,LEGIT
119,12,12,1,0,0,0,1,0,3,3,0,39.72,21,0,12.95,12.95,LEGIT
398,13,13,0,0,1,0,0,0,2,1,1,-0.896,9,9,38.85,38.85,FRAUD
104,18,18,0,0,1,1,1,0,1,3,1,-2,6,0,38.85,38.85,LEGIT
614,8,8,0,0,1,1,0,0,1,3,0,12.536,30,4,10.36,10.36,LEGIT
107,21,21,0,0,1,1,0,0,3,3,0,6.336,9,1,38.85,38.85,LEGIT
679,7,7,0,0,1,1,0,0,1,0,1,37.304,21,2,12.95,12.95,FRAUD
683,11,11,0,0,1,1,0,0,1,1,0,-35.064,7,0,49.95,49.95,FRAUD
685,11,11,1,0,1,1,1,0,1,3,0,16.816,6,0,11.01,11.01,LEGIT
670,11,11,0,0,0,1,1,0,1,2,0,36.8,21,0,12.95,12.95,FRAUD
683,17,17,0,0,1,0,0,0,1,3,0,-27.832,7,2,12.95,12.95,FRAUD
667,13,13,0,0,1,1,0,0,3,2,0,-0.08,12,6,10.36,10.36,FRAUD
116,21,21,0,1,0,1,1,0,1,3,0,9.672,20,4,38.85,38.85,FRAUD
398,14,14,0,0,1,0,1,0,1,3,1,52.44,11,0,10.36,10.36,FRAUD
672,19,19,0,0,0,1,1,0,2,0,1,14.848,21,0,38.85,38.85,LEGIT
685,18,18,0,0,1,1,1,0,2,2,0,7.32,9,0,12.95,12.95,LEGIT
369,16,16,0,0,0,1,1,0,1,4,0,-17.272,7,6,38.85,38.85,LEGIT
670,17,17,0,0,0,0,0,0,1,3,1,-10.896,17,0,38.85,38.85,FRAUD
685,9,9,1,0,0,0,0,0,1,4,1,29.056,6,0,12.95,12.95,LEGIT
614,12,12,0,0,1,1,1,0,1,3,0,12.088,8,2,38.85,38.85,LEGIT
127,13,13,0,0,1,0,0,0,1,3,1,35.6,10,0,38.85,38.85,LEGIT
672,18,18,0,0,1,1,1,0,2,3,0,28.16,24,4,12.95,12.95,LEGIT
685,7,7,1,0,1,0,0,0,1,3,1,12.208,23,0,38.85,38.85,FRAUD
369,17,17,0,0,1,0,0,0,1,2,0,31.856,8,3,12.95,12.95,FRAUD
648,16,16,0,0,1,1,0,0,1,3,0,-155.56,6,0,23.4,23.4,FRAUD
683,0,0,0,0,0,0,0,0,1,2,0,-13.336,18,0,12.95,12.95,FRAUD
630,19,19,0,0,0,1,1,0,1,2,1,-31.256,21,3,59.4,59.4,FRAUD
398,8,8,0,0,1,1,0,0,2,2,0,26.432,7,0,38.85,38.85,LEGIT
114,19,19,0,0,0,1,1,0,3,3,1,10.12,20,1,12.95,12.95,LEGIT
685,21,21,0,0,1,0,1,0,1,1,0,48.616,10,3,38.85,38.85,FRAUD
420,15,16,0,0,0,1,1,0,1,2,0,33.592,10,4,38.85,38.85,LEGIT
667,15,15,0,0,1,1,1,0,2,3,0,4.272,18,0,12.95,12.95,FRAUD
685,19,19,0,0,0,0,0,0,2,3,0,23.624,6,0,12.95,12.95,LEGIT
428,10,10,0,0,1,0,0,0,1,3,0,15.84,10,1,12.95,12.95,LEGIT
625,10,10,0,0,1,1,1,0,1,3,0,47.176,21,4,38.85,38.85,FRAUD
308,9,9,0,0,1,1,0,0,1,3,1,-8.48,10,3,10.36,10.36,FRAUD
356,12,12,0,0,0,1,0,0,1,0,1,-23.576,17,0,12.95,12.95,LEGIT
683,17,17,0,0,1,0,0,0,1,3,0,20.52,9,9,38.85,38.85,FRAUD
122,15,15,0,0,0,1,1,0,1,1,0,-33.312,7,0,9.71,9.71,LEGIT
450,13,13,0,0,0,1,1,0,200,4,1,-14.088,9,3,0,0,FRAUD
120,8,8,0,0,0,0,0,0,1,3,1,-29.12,9,0,12.95,12.95,LEGIT
655,11,11,0,0,1,0,0,0,1,0,1,4.032,11,6,12.95,12.95,LEGIT
685,10,10,0,0,1,1,1,0,3,0,0,-39.792,9,9,12.95,12.95,LEGIT
430,12,11,0,0,1,0,0,0,1,0,0,42.408,7,4,12.95,12.95,LEGIT
625,8,8,0,0,1,1,0,0,1,3,0,8.808,14,4,10.36,10.36,LEGIT
607,17,17,0,0,0,1,1,0,1,2,0,43.552,18,2,12.95,12.95,LEGIT
428,10,10,0,0,1,1,0,0,1,2,0,-10.48,21,3,12.95,12.95,LEGIT
398,6,6,0,0,1,0,0,0,1,2,0,-3.312,9,0,10.36,10.36,FRAUD
398,17,17,0,0,1,1,1,0,1,3,0,-1.968,6,1,12.95,12.95,FRAUD
669,11,11,0,0,1,0,0,0,1,0,1,-7.6,18,0,12.95,12.95,FRAUD
690,8,8,0,0,1,1,0,0,1,3,0,19.48,7,4,10.36,10.36,FRAUD
602,17,17,0,0,1,1,0,0,2,2,0,-48.888,9,9,12.95,12.95,LEGIT
683,19,19,0,0,0,0,0,0,1,3,0,40.16,23,1,12.95,12.95,FRAUD
689,19,19,0,0,1,1,1,0,1,3,0,31.632,22,0,12.95,12.95,FRAUD
655,10,10,0,0,1,1,0,0,1,3,0,-28.304,12,0,25.9,25.9,FRAUD
656,16,16,0,0,1,0,0,0,2,3,1,19.456,9,2,12.95,12.95,FRAUD
669,14,14,0,0,1,1,1,0,1,2,0,-45.408,6,6,12.95,12.95,FRAUD
119,14,14,0,0,0,1,1,0,2,3,1,31.792,13,0,38.85,38.85,LEGIT
114,22,22,0,0,0,1,1,0,1,3,0,-30.824,17,1,38.85,38.85,FRAUD
385,11,11,0,0,1,1,1,0,2,3,0,17.84,17,0,25.9,25.9,LEGIT
452,11,11,1,0,0,1,1,0,1600,4,1,60.216,9,3,0,0,LEGIT
127,14,14,0,0,0,1,1,0,1,3,1,36.192,22,0,49.95,49.95,LEGIT
685,11,11,0,0,1,0,1,1,2,2,1,-46.624,9,9,12.95,12.95,LEGIT
432,22,22,1,0,0,1,1,0,1,3,0,-50.92,24,0,38.85,38.85,FRAUD
655,15,15,0,0,0,0,0,0,1,0,1,49.464,16,2,12.95,12.95,LEGIT
683,12,12,0,0,1,0,0,0,1,0,0,-26.184,22,0,38.85,38.85,FRAUD
670,16,16,0,0,0,1,0,0,1,0,0,56.888,22,0,31.08,31.08,LEGIT
648,16,16,0,0,0,0,0,0,1,3,1,-59.84,24,0,38.85,38.85,FRAUD
398,14,14,0,0,1,0,1,0,1,3,0,45.872,9,9,38.85,38.85,LEGIT
308,23,23,0,0,0,1,1,0,2,2,1,-2.96,19,0,49.95,49.95,LEGIT
667,19,19,0,0,1,1,1,0,2,2,1,11.696,21,2,12.95,12.95,FRAUD
308,15,14,0,0,1,1,1,0,1,3,0,-7.648,9,9,10.36,10.36,FRAUD
669,15,16,0,0,0,1,1,0,1,3,0,5.144,18,0,38.85,38.85,FRAUD
115,19,19,0,0,0,1,1,0,1,3,0,31.16,20,1,49.95,49.95,FRAUD
683,13,13,0,0,0,0,0,0,1,3,1,39.008,26,2,38.85,38.85,FRAUD
648,18,18,1,0,0,1,0,0,1,4,1,20.744,10,0,38.85,38.85,FRAUD
117,14,14,0,0,0,0,0,0,1,0,0,-24.944,12,0,12.95,12.95,FRAUD
118,14,15,0,0,0,1,0,0,1,2,1,0.68,7,0,25.9,25.9,LEGIT
600,9,9,0,0,0,1,1,0,1,4,0,6.184,9,9,38.85,38.85,LEGIT
692,18,18,0,0,0,0,0,0,1,4,0,26.816,12,4,12.95,12.95,FRAUD
111,19,19,0,0,0,0,0,0,1,2,0,-84.04,26,0,10.36,10.36,LEGIT
648,13,13,1,0,0,0,0,0,1,4,1,43.064,18,2,0,0,FRAUD
669,14,14,0,0,1,1,1,0,1,3,1,-28.872,7,2,12.95,12.95,FRAUD
428,10,10,0,0,1,0,1,0,2,3,0,23.904,6,4,10.36,10.36,FRAUD
625,22,22,0,0,1,1,1,0,1,3,0,18.616,12,0,12.95,12.95,LEGIT
685,8,8,0,0,1,0,0,0,1,3,0,5.752,11,4,12.95,12.95,LEGIT
166,10,10,0,0,1,1,1,0,2,3,0,-22.2,17,4,12.95,12.95,FRAUD
634,22,22,0,0,0,1,1,0,2,3,1,30.848,7,2,49.95,49.95,LEGIT
105,10,10,0,0,1,1,0,0,1,2,0,-16.92,10,4,10.36,10.36,LEGIT
683,10,10,0,0,0,1,0,0,1,3,0,19.088,17,0,12.95,12.95,FRAUD
655,15,15,1,0,0,0,0,0,1,0,1,29.328,18,0,12.95,12.95,FRAUD
685,19,19,0,0,0,1,0,0,1,0,1,10.472,16,0,38.85,38.85,LEGIT
166,22,22,1,0,1,0,0,0,1,3,1,39.464,7,4,49.95,49.95,FRAUD
452,16,16,0,0,1,1,1,0,1,2,1,23.784,23,5,12.95,12.95,LEGIT
649,15,15,0,0,1,1,0,0,1,2,0,18.744,10,0,38.85,38.85,FRAUD
420,10,10,0,0,0,1,1,0,1,3,0,-27.392,28,0,38.85,38.85,LEGIT
428,16,16,0,0,0,0,0,0,1,3,0,47.184,22,0,12.95,12.95,LEGIT
649,10,10,0,0,1,1,0,0,2,3,1,-43.096,15,0,12.95,12.95,LEGIT
669,21,21,0,0,0,1,1,0,1,2,1,-44.112,21,0,49.95,49.95,LEGIT
386,15,15,0,0,0,0,0,0,1,4,1,-27.832,8,0,12.95,12.95,LEGIT
649,8,8,0,0,0,1,1,0,1,1,1,-0.152,19,0,38.85,38.85,FRAUD
614,17,17,0,0,1,1,0,0,1,0,0,-39.44,9,0,38.85,38.85,FRAUD
649,14,14,0,0,1,0,1,0,1,2,1,-10.344,8,3,31.08,31.08,FRAUD
113,12,12,1,0,0,1,1,0,3,3,1,-70.784,9,1,12.95,12.95,FRAUD
356,15,15,0,0,0,0,0,0,1,4,1,-4.112,21,0,0,0,LEGIT
648,19,19,0,0,0,1,1,0,1,3,1,45.64,14,0,49.95,49.95,FRAUD
656,11,11,0,0,0,1,1,0,1,3,0,25.912,18,0,49.95,49.95,FRAUD
166,14,14,0,0,0,1,0,0,1,3,1,3.024,29,0,12.95,12.95,LEGIT
430,13,13,0,0,1,0,1,0,2,2,0,20.44,8,4,12.95,12.95,FRAUD
685,13,13,0,0,0,0,0,0,2,0,1,34.208,8,0,31.08,31.08,LEGIT
685,14,14,0,0,0,0,0,0,1,1,1,-24.496,9,0,38.85,38.85,LEGIT
115,20,20,0,0,1,1,0,0,1,3,0,33.512,19,1,12.95,12.95,LEGIT
693,12,12,0,0,0,1,0,0,1,3,0,20.04,22,1,38.85,38.85,FRAUD
685,9,9,0,0,0,0,0,0,1,2,1,12.496,16,0,12.95,12.95,LEGIT
122,16,16,0,0,0,1,1,0,1,4,1,26.416,12,0,12.95,12.95,LEGIT
649,16,16,0,0,1,1,0,0,1,4,1,-24.296,18,5,0,0,FRAUD
398,10,10,1,0,1,1,1,0,1,3,1,11.32,8,1,38.85,38.85,LEGIT
683,8,8,0,0,1,1,1,0,1,3,0,29.896,23,0,12.95,12.95,FRAUD
649,14,14,0,0,0,0,0,0,1,2,0,-117.016,21,0,38.85,38.85,FRAUD
